DATE,RELACBW027SBOG
1977-06-15,160.5451
1977-06-22,160.9576
1977-06-29,161.1484
1977-07-06,161.5954
1977-07-13,162.5671
1977-07-20,163.1842
1977-07-27,163.7149
1977-08-03,164.2707
1977-08-10,165.2779
1977-08-17,165.5437
1977-08-24,165.9166
1977-08-31,166.3822
1977-09-07,166.6278
1977-09-14,167.1827
1977-09-21,167.5950
1977-09-28,168.4842
1977-10-05,168.7211
1977-10-12,169.6343
1977-10-19,170.2625
1977-10-26,171.0548
1977-11-02,171.4667
1977-11-09,171.7879
1977-11-16,172.5625
1977-11-23,173.4137
1977-11-30,173.8957
1977-12-07,174.2038
1977-12-14,174.4011
1977-12-21,175.4939
1977-12-28,175.7545
1978-01-04,176.0376
1978-01-11,177.0140
1978-01-18,177.5768
1978-01-25,178.3577
1978-02-01,179.0591
1978-02-08,179.5390
1978-02-15,180.0352
1978-02-22,180.6936
1978-03-01,181.3378
1978-03-08,182.0152
1978-03-15,182.6623
1978-03-22,183.3389
1978-03-29,183.8810
1978-04-05,184.2066
1978-04-12,185.1308
1978-04-19,185.9171
1978-04-26,186.6144
1978-05-03,187.5092
1978-05-10,188.1403
1978-05-17,188.7830
1978-05-24,189.4508
1978-05-31,190.1351
1978-06-07,191.0136
1978-06-14,191.7380
1978-06-21,192.5854
1978-06-28,192.7938
1978-07-05,193.1329
1978-07-12,194.1954
1978-07-19,195.0154
1978-07-26,196.0449
1978-08-02,196.5921
1978-08-09,197.4472
1978-08-16,198.0464
1978-08-23,198.7272
1978-08-30,199.3413
1978-09-06,199.9622
1978-09-13,200.4971
1978-09-20,201.1455
1978-09-27,201.9035
1978-10-04,202.7917
1978-10-11,203.6779
1978-10-18,204.4273
1978-10-25,205.2363
1978-11-01,205.9021
1978-11-08,206.6251
1978-11-15,207.2476
1978-11-22,207.8861
1978-11-29,208.5347
1978-12-06,209.6097
1978-12-13,210.0563
1978-12-20,210.7129
1978-12-27,211.1981
1979-01-03,210.7233
1979-01-10,211.4863
1979-01-17,211.6453
1979-01-24,212.5069
1979-01-31,212.6678
1979-02-07,212.9733
1979-02-14,213.4408
1979-02-21,213.7479
1979-02-28,214.3533
1979-03-07,214.8574
1979-03-14,215.0863
1979-03-21,215.5775
1979-03-28,216.4533
1979-04-04,216.9631
1979-04-11,217.4468
1979-04-18,218.1074
1979-04-25,218.6493
1979-05-02,219.1415
1979-05-09,219.7018
1979-05-16,220.1707
1979-05-23,221.0361
1979-05-30,221.5914
1979-06-06,222.5168
1979-06-13,223.0921
1979-06-20,223.8848
1979-06-27,225.1831
1979-07-04,226.2816
1979-07-11,227.2367
1979-07-18,228.1655
1979-07-25,228.9688
1979-08-01,229.1884
1979-08-08,230.0080
1979-08-15,230.6045
1979-08-22,231.2095
1979-08-29,231.8024
1979-09-05,232.3468
1979-09-12,233.3106
1979-09-19,234.0127
1979-09-26,234.7018
1979-10-03,235.4830
1979-10-10,236.0549
1979-10-17,236.6757
1979-10-24,237.2763
1979-10-31,238.1437
1979-11-07,238.4399
1979-11-14,238.7824
1979-11-21,239.4205
1979-11-28,240.0893
1979-12-05,240.4577
1979-12-12,241.2414
1979-12-19,242.0165
1979-12-26,241.8818
1980-01-02,242.7301
1980-01-09,243.3587
1980-01-16,243.7789
1980-01-23,244.6175
1980-01-30,244.7958
1980-02-06,246.2460
1980-02-13,246.5933
1980-02-20,247.2034
1980-02-27,247.7396
1980-03-05,248.0815
1980-03-12,248.5375
1980-03-19,248.9649
1980-03-26,249.0542
1980-04-02,250.4917
1980-04-09,250.5335
1980-04-16,250.6496
1980-04-23,250.6384
1980-04-30,250.9648
1980-05-07,250.9960
1980-05-14,251.0798
1980-05-21,251.3653
1980-05-28,251.7199
1980-06-04,251.6537
1980-06-11,251.6191
1980-06-18,251.9174
1980-06-25,252.2259
1980-07-02,252.8946
1980-07-09,253.1414
1980-07-16,253.4512
1980-07-23,253.7688
1980-07-30,254.2395
1980-08-06,254.3562
1980-08-13,254.8283
1980-08-20,255.1222
1980-08-27,255.4100
1980-09-03,255.6664
1980-09-10,255.8507
1980-09-17,255.9811
1980-09-24,256.7227
1980-10-01,256.9572
1980-10-08,257.7434
1980-10-15,258.0201
1980-10-22,258.5511
1980-10-29,259.0971
1980-11-05,259.8348
1980-11-12,260.2488
1980-11-19,260.7359
1980-11-26,260.9527
1980-12-03,261.3673
1980-12-10,261.7596
1980-12-17,262.1190
1980-12-24,262.7584
1980-12-31,262.8890
1981-01-07,262.9241
1981-01-14,263.7087
1981-01-21,263.7034
1981-01-28,264.4588
1981-02-04,264.4425
1981-02-11,264.6694
1981-02-18,265.2804
1981-02-25,265.4737
1981-03-04,266.1843
1981-03-11,266.5460
1981-03-18,266.8188
1981-03-25,267.0716
1981-04-01,267.3705
1981-04-08,268.1669
1981-04-15,268.2574
1981-04-22,268.8998
1981-04-29,269.1547
1981-05-06,269.9827
1981-05-13,270.6982
1981-05-20,271.4091
1981-05-27,271.9375
1981-06-03,272.6909
1981-06-10,273.2005
1981-06-17,273.6347
1981-06-24,273.9034
1981-07-01,273.1451
1981-07-08,273.8998
1981-07-15,274.2587
1981-07-22,274.9750
1981-07-29,275.7865
1981-08-05,276.0144
1981-08-12,276.6101
1981-08-19,276.9494
1981-08-26,277.5669
1981-09-02,278.1666
1981-09-09,278.4148
1981-09-16,278.5816
1981-09-23,278.8813
1981-09-30,279.1981
1981-10-07,279.7122
1981-10-14,279.8777
1981-10-21,280.2049
1981-10-28,280.6154
1981-11-04,280.6085
1981-11-11,281.2032
1981-11-18,281.7136
1981-11-25,281.9402
1981-12-02,282.4171
1981-12-09,282.7140
1981-12-16,283.1961
1981-12-23,283.6831
1981-12-30,284.9380
1982-01-06,284.6345
1982-01-13,285.0562
1982-01-20,285.4589
1982-01-27,285.8618
1982-02-03,286.2405
1982-02-10,286.7140
1982-02-17,286.9951
1982-02-24,288.6221
1982-03-03,289.1762
1982-03-10,289.5946
1982-03-17,290.0627
1982-03-24,290.1767
1982-03-31,291.4357
1982-04-07,291.4528
1982-04-14,291.4089
1982-04-21,291.9179
1982-04-28,292.1619
1982-05-05,293.0890
1982-05-12,293.3810
1982-05-19,293.6676
1982-05-26,294.1954
1982-06-02,294.8532
1982-06-09,295.1910
1982-06-16,295.5294
1982-06-23,295.9892
1982-06-30,296.1034
1982-07-07,295.6259
1982-07-14,295.8268
1982-07-21,295.9061
1982-07-28,296.1124
1982-08-04,296.8019
1982-08-11,296.8921
1982-08-18,296.9287
1982-08-25,297.1038
1982-09-01,297.6727
1982-09-08,297.7817
1982-09-15,297.4673
1982-09-22,298.0047
1982-09-29,298.5424
1982-10-06,298.3264
1982-10-13,298.5633
1982-10-20,298.7694
1982-10-27,298.8788
1982-11-03,298.8175
1982-11-10,299.0601
1982-11-17,299.1939
1982-11-24,299.6426
1982-12-01,299.2574
1982-12-08,299.6182
1982-12-15,299.3310
1982-12-22,300.0611
1982-12-29,299.3948
1983-01-05,300.5748
1983-01-12,301.9044
1983-01-19,302.3876
1983-01-26,302.7594
1983-02-02,302.5145
1983-02-09,302.6813
1983-02-16,303.3558
1983-02-23,303.2588
1983-03-02,303.6891
1983-03-09,304.0409
1983-03-16,304.2308
1983-03-23,303.8103
1983-03-30,305.1297
1983-04-06,306.3127
1983-04-13,305.7110
1983-04-20,306.0747
1983-04-27,306.6050
1983-05-04,307.0301
1983-05-11,307.6189
1983-05-18,308.2477
1983-05-25,308.9114
1983-06-01,309.3609
1983-06-08,309.8838
1983-06-15,310.7070
1983-06-22,311.0076
1983-06-29,311.6062
1983-07-06,312.9557
1983-07-13,313.5253
1983-07-20,314.2317
1983-07-27,314.9563
1983-08-03,315.8109
1983-08-10,316.2955
1983-08-17,316.8740
1983-08-24,317.5736
1983-08-31,318.7414
1983-09-07,319.6592
1983-09-14,320.3514
1983-09-21,320.9827
1983-09-28,321.3955
1983-10-05,322.0184
1983-10-12,322.9993
1983-10-19,324.2219
1983-10-26,325.3339
1983-11-02,325.5463
1983-11-09,326.2515
1983-11-16,327.0021
1983-11-23,328.0087
1983-11-30,328.7657
1983-12-07,329.3757
1983-12-14,329.7525
1983-12-21,330.8247
1983-12-28,330.8343
1984-01-04,331.8063
1984-01-11,332.6775
1984-01-18,333.6761
1984-01-25,334.3488
1984-02-01,335.4649
1984-02-08,336.2066
1984-02-15,337.0945
1984-02-22,338.0660
1984-02-29,339.3558
1984-03-07,340.1729
1984-03-14,341.6386
1984-03-21,342.1270
1984-03-28,342.6826
1984-04-04,345.3860
1984-04-11,345.0038
1984-04-18,346.0281
1984-04-25,346.9278
1984-05-02,347.6211
1984-05-09,348.4173
1984-05-16,349.1475
1984-05-23,350.4740
1984-05-30,351.2362
1984-06-06,352.0575
1984-06-13,353.1092
1984-06-20,354.1075
1984-06-27,354.7606
1984-07-04,355.3235
1984-07-11,356.3884
1984-07-18,357.0842
1984-07-25,357.5243
1984-08-01,358.9443
1984-08-08,359.2500
1984-08-15,360.0201
1984-08-22,361.2216
1984-08-29,362.0338
1984-09-05,362.1143
1984-09-12,364.2591
1984-09-19,365.3707
1984-09-26,365.9115
1984-10-03,365.6458
1984-10-10,366.7732
1984-10-17,367.5111
1984-10-24,367.8221
1984-10-31,369.2691
1984-11-07,370.7218
1984-11-14,371.7519
1984-11-21,372.4869
1984-11-28,373.9040
1984-12-05,374.9220
1984-12-12,375.7925
1984-12-19,376.4493
1984-12-26,377.0742
1985-01-02,376.7429
1985-01-09,377.6931
1985-01-16,378.3817
1985-01-23,379.5600
1985-01-30,380.7420
1985-02-06,381.1688
1985-02-13,382.1187
1985-02-20,383.8055
1985-02-27,385.0431
1985-03-06,386.0607
1985-03-13,387.0054
1985-03-20,386.6645
1985-03-27,386.8654
1985-04-03,388.3409
1985-04-10,389.8626
1985-04-17,390.061
1985-04-24,391.5701
1985-05-01,391.8275
1985-05-08,392.7325
1985-05-15,393.8276
1985-05-22,394.5791
1985-05-29,395.7068
1985-06-05,396.1367
1985-06-12,396.802
1985-06-19,397.3099
1985-06-26,398.8574
1985-07-03,399.6677
1985-07-10,399.723
1985-07-17,400.8391
1985-07-24,401.9895
1985-07-31,402.4652
1985-08-07,403.4655
1985-08-14,404.3706
1985-08-21,405.5398
1985-08-28,406.509
1985-09-04,407.404
1985-09-11,408.7303
1985-09-18,409.3437
1985-09-25,410.8687
1985-10-02,412.1478
1985-10-09,413.1035
1985-10-16,413.9386
1985-10-23,414.8623
1985-10-30,415.9399
1985-11-06,416.6837
1985-11-13,417.6572
1985-11-20,419.1811
1985-11-27,419.877
1985-12-04,420.9173
1985-12-11,422.1034
1985-12-18,423.2472
1985-12-25,423.2001
1986-01-01,424.3998
1986-01-08,425.6962
1986-01-15,426.4797
1986-01-22,427.7843
1986-01-29,429.4083
1986-02-05,430.3245
1986-02-12,431.0505
1986-02-19,432.394
1986-02-26,433.6649
1986-03-05,434.6227
1986-03-12,435.7615
1986-03-19,437.1899
1986-03-26,438.4247
1986-04-02,439.3302
1986-04-09,440.3432
1986-04-16,441.3935
1986-04-23,442.7765
1986-04-30,443.8897
1986-05-07,444.7157
1986-05-14,445.6305
1986-05-21,447.1004
1986-05-28,447.836
1986-06-04,448.7786
1986-06-11,450.144
1986-06-18,451.2659
1986-06-25,452.0871
1986-07-02,453.7841
1986-07-09,454.8551
1986-07-16,456.7311
1986-07-23,458.2114
1986-07-30,459.0862
1986-08-06,460.4855
1986-08-13,462.0002
1986-08-20,463.6895
1986-08-27,465.0497
1986-09-03,466.0787
1986-09-10,467.5773
1986-09-17,469.3177
1986-09-24,470.2724
1986-10-01,471.8705
1986-10-08,471.8427
1986-10-15,472.8167
1986-10-22,475.2845
1986-10-29,475.4087
1986-11-05,476.4777
1986-11-12,477.6861
1986-11-19,478.8569
1986-11-26,480.7826
1986-12-03,483.6518
1986-12-10,486.0646
1986-12-17,488.5267
1986-12-24,492.6665
1986-12-31,498.9115
1987-01-07,500.4886
1987-01-14,501.9959
1987-01-21,503.4395
1987-01-28,504.4358
1987-02-04,505.7909
1987-02-11,507.0482
1987-02-18,508.7669
1987-02-25,509.8325
1987-03-04,512.049
1987-03-11,514.0698
1987-03-18,516.3285
1987-03-25,518.0236
1987-04-01,521.0538
1987-04-08,522.2831
1987-04-15,524.486
1987-04-22,525.5855
1987-04-29,527.0678
1987-05-06,528.5311
1987-05-13,530.4816
1987-05-20,532.4189
1987-05-27,533.6118
1987-06-03,536.5323
1987-06-10,537.963
1987-06-17,543.0649
1987-06-24,543.6308
1987-07-01,544.9379
1987-07-08,546.8547
1987-07-15,548.9849
1987-07-22,549.1627
1987-07-29,552.2315
1987-08-05,553.0062
1987-08-12,554.4736
1987-08-19,556.3077
1987-08-26,557.9395
1987-09-02,559.4423
1987-09-09,560.869
1987-09-16,562.5386
1987-09-23,564.3387
1987-09-30,565.9496
1987-10-07,567.7168
1987-10-14,569.9533
1987-10-21,571.1684
1987-10-28,572.7703
1987-11-04,574.4244
1987-11-11,575.6309
1987-11-18,577.6974
1987-11-25,578.9857
1987-12-02,581.474
1987-12-09,582.3072
1987-12-16,585.4422
1987-12-23,587.3977
1987-12-30,588.4813
1988-01-06,588.664
1988-01-13,590.6649
1988-01-20,591.9642
1988-01-27,593.3694
1988-02-03,593.8033
1988-02-10,594.9162
1988-02-17,595.0559
1988-02-24,596.8683
1988-03-02,598.5781
1988-03-09,599.1118
1988-03-16,600.3447
1988-03-23,602.4233
1988-03-30,604.0176
1988-04-06,605.9901
1988-04-13,607.4355
1988-04-20,609.3866
1988-04-27,610.703
1988-05-04,612.8876
1988-05-11,614.1381
1988-05-18,615.5076
1988-05-25,617.9089
1988-06-01,619.1253
1988-06-08,620.3515
1988-06-15,621.3426
1988-06-22,623.6956
1988-06-29,625.6853
1988-07-06,626.5624
1988-07-13,628.5779
1988-07-20,629.9729
1988-07-27,631.929
1988-08-03,632.9253
1988-08-10,634.7068
1988-08-17,636.7883
1988-08-24,638.5548
1988-08-31,640.8144
1988-09-07,640.6404
1988-09-14,642.3897
1988-09-21,645.3569
1988-09-28,647.0208
1988-10-05,649.0066
1988-10-12,650.5587
1988-10-19,651.8187
1988-10-26,652.5518
1988-11-02,653.2607
1988-11-09,655.0229
1988-11-16,656.3662
1988-11-23,658.2561
1988-11-30,659.1371
1988-12-07,659.6582
1988-12-14,660.8863
1988-12-21,663.2818
1988-12-28,664.8767
1989-01-04,671.452
1989-01-11,674.5147
1989-01-18,676.9238
1989-01-25,678.4717
1989-02-01,679.1313
1989-02-08,680.5493
1989-02-15,682.996
1989-02-22,684.6938
1989-03-01,684.7516
1989-03-08,685.8062
1989-03-15,687.4096
1989-03-22,689.358
1989-03-29,692.0256
1989-04-05,694.5466
1989-04-12,696.3813
1989-04-19,698.8005
1989-04-26,700.6028
1989-05-03,700.7001
1989-05-10,702.0628
1989-05-17,704.0802
1989-05-24,705.7609
1989-05-31,706.4998
1989-06-07,708.7546
1989-06-14,710.504
1989-06-21,712.8521
1989-06-28,714.0091
1989-07-05,716.5453
1989-07-12,717.7169
1989-07-19,720.7063
1989-07-26,722.653
1989-08-02,724.4005
1989-08-09,726.887
1989-08-16,729.4832
1989-08-23,731.7814
1989-08-30,734.3122
1989-09-06,736.7393
1989-09-13,738.1381
1989-09-20,739.5547
1989-09-27,740.6305
1989-10-04,741.4785
1989-10-11,742.7064
1989-10-18,744.5289
1989-10-25,747.1399
1989-11-01,749.4011
1989-11-08,750.0936
1989-11-15,751.5331
1989-11-22,753.7505
1989-11-29,755.4368
1989-12-06,757.518
1989-12-13,759.0483
1989-12-20,760.2929
1989-12-27,761.8193
1990-01-03,761.1702
1990-01-10,763.4572
1990-01-17,764.9344
1990-01-24,768.1628
1990-01-31,768.6694
1990-02-07,771.9917
1990-02-14,773.6827
1990-02-21,776.2532
1990-02-28,777.1547
1990-03-07,778.1299
1990-03-14,780.7156
1990-03-21,782.5858
1990-03-28,784.0858
1990-04-04,784.5568
1990-04-11,786.8111
1990-04-18,788.3782
1990-04-25,790.9192
1990-05-02,792.1664
1990-05-09,794.2347
1990-05-16,796.0558
1990-05-23,800.1339
1990-05-30,801.7075
1990-06-06,802.7484
1990-06-13,803.7728
1990-06-20,806.0425
1990-06-27,807.7687
1990-07-04,809.3404
1990-07-11,812.1499
1990-07-18,814.418
1990-07-25,815.7173
1990-08-01,817.773
1990-08-08,818.6071
1990-08-15,818.8172
1990-08-22,819.6914
1990-08-29,819.4844
1990-09-05,819.896
1990-09-12,822.1139
1990-09-19,823.6374
1990-09-26,824.7256
1990-10-03,825.5994
1990-10-10,827.287
1990-10-17,829.2346
1990-10-24,830.5797
1990-10-31,831.0831
1990-11-07,832.7379
1990-11-14,833.1919
1990-11-21,835.4683
1990-11-28,834.8114
1990-12-05,838.8573
1990-12-12,839.1865
1990-12-19,844.1377
1990-12-26,843.6903
1991-01-02,842.1238
1991-01-09,844.6142
1991-01-16,846.2207
1991-01-23,847.9462
1991-01-30,848.4144
1991-02-06,849.3651
1991-02-13,849.8233
1991-02-20,852.9726
1991-02-27,854.4365
1991-03-06,855.2139
1991-03-13,856.7047
1991-03-20,858.3836
1991-03-27,858.5745
1991-04-03,858.2191
1991-04-10,859.8905
1991-04-17,860.09
1991-04-24,862.1611
1991-05-01,861.5694
1991-05-08,861.6252
1991-05-15,860.8658
1991-05-22,862.5787
1991-05-29,863.8512
1991-06-05,865.5429
1991-06-12,865.6882
1991-06-19,866.1396
1991-06-26,866.0666
1991-07-03,865.4841
1991-07-10,866.1374
1991-07-17,863.815
1991-07-24,864.7214
1991-07-31,862.4978
1991-08-07,862.7049
1991-08-14,863.4795
1991-08-21,864.1775
1991-08-28,863.8382
1991-09-04,864.3812
1991-09-11,864.8279
1991-09-18,863.7057
1991-09-25,863.9827
1991-10-02,864.6183
1991-10-09,864.9583
1991-10-16,864.9633
1991-10-23,866.5411
1991-10-30,866.9761
1991-11-06,866.4079
1991-11-13,866.7268
1991-11-20,867.9313
1991-11-27,867.4251
1991-12-04,867.2421
1991-12-11,867.4776
1991-12-18,867.8722
1991-12-25,868.3606
1992-01-01,869.7573
1992-01-08,870.0024
