DATE,RHEACBW027SBOG
1992-07-29,74.0817
1992-08-05,74.0676
1992-08-12,74.1304
1992-08-19,74.2851
1992-08-26,74.2835
1992-09-02,73.9824
1992-09-09,73.9774
1992-09-16,74.1094
1992-09-23,74.1065
1992-09-30,74.4598
1992-10-07,74.8015
1992-10-14,74.743
1992-10-21,74.6787
1992-10-28,74.6261
1992-11-04,74.6317
1992-11-11,74.8418
1992-11-18,74.8827
1992-11-25,74.897
1992-12-02,74.8043
1992-12-09,75.144
1992-12-16,75.088
1992-12-23,74.9456
1992-12-30,75.1247
1993-01-06,75.1613
1993-01-13,75.0852
1993-01-20,75.2137
1993-01-27,75.3103
1993-02-03,75.2605
1993-02-10,75.2366
1993-02-17,75.2873
1993-02-24,75.3939
1993-03-03,75.8354
1993-03-10,75.8942
1993-03-17,75.9819
1993-03-24,76.0845
1993-03-31,76.2695
1993-04-07,76.2171
1993-04-14,76.2577
1993-04-21,76.3392
1993-04-28,76.346
1993-05-05,76.3408
1993-05-12,76.3597
1993-05-19,76.3527
1993-05-26,76.4939
1993-06-02,76.3211
1993-06-09,76.23
1993-06-16,76.5027
1993-06-23,76.3861
1993-06-30,76.3716
1993-07-07,76.424
1993-07-14,75.4967
1993-07-21,75.3031
1993-07-28,74.9816
1993-08-04,74.6671
1993-08-11,74.416
1993-08-18,74.3082
1993-08-25,74.1946
1993-09-01,76.5791
1993-09-08,76.4093
1993-09-15,76.2433
1993-09-22,75.9467
1993-09-29,75.5516
1993-10-06,75.0872
1993-10-13,74.9268
1993-10-20,74.7613
1993-10-27,74.609
1993-11-03,74.4515
1993-11-10,74.4801
1993-11-17,74.3947
1993-11-24,74.2806
1993-12-01,74.1746
1993-12-08,74.1241
1993-12-15,74.1174
1993-12-22,74.0024
1993-12-29,73.8564
1994-01-05,73.8787
1994-01-12,73.7453
1994-01-19,73.7766
1994-01-26,73.8002
1994-02-02,73.9142
1994-02-09,73.8875
1994-02-16,73.8165
1994-02-23,73.8605
1994-03-02,73.8733
1994-03-09,73.9248
1994-03-16,73.8828
1994-03-23,74.0114
1994-03-30,73.9048
1994-04-06,74.0198
1994-04-13,73.9337
1994-04-20,73.8576
1994-04-27,73.8507
1994-05-04,73.796
1994-05-11,73.911
1994-05-18,74.0734
1994-05-25,74.2209
1994-06-01,74.3709
1994-06-08,74.3872
1994-06-15,74.4846
1994-06-22,74.3147
1994-06-29,74.5839
1994-07-06,74.6481
1994-07-13,74.5663
1994-07-20,74.6266
1994-07-27,74.6475
1994-08-03,74.7373
1994-08-10,74.7227
1994-08-17,74.8764
1994-08-24,75.0015
1994-08-31,74.835
1994-09-07,74.829
1994-09-14,74.9934
1994-09-21,75.1022
1994-09-28,75.1928
1994-10-05,75.265
1994-10-12,75.3072
1994-10-19,75.297
1994-10-26,75.3602
1994-11-02,75.4138
1994-11-09,75.5572
1994-11-16,75.7153
1994-11-23,75.7802
1994-11-30,75.962
1994-12-07,76.1676
1994-12-14,76.0103
1994-12-21,75.9832
1994-12-28,76.0687
1995-01-04,76.2409
1995-01-11,76.3599
1995-01-18,76.3606
1995-01-25,76.3887
1995-02-01,76.5337
1995-02-08,76.6096
1995-02-15,76.6166
1995-02-22,76.6868
1995-03-01,76.2998
1995-03-08,76.4032
1995-03-15,76.453
1995-03-22,76.5476
1995-03-29,76.6704
1995-04-05,76.828
1995-04-12,76.8969
1995-04-19,76.8825
1995-04-26,76.9186
1995-05-03,77.0735
1995-05-10,77.3705
1995-05-17,77.5052
1995-05-24,77.6552
1995-05-31,77.814
1995-06-07,77.8318
1995-06-14,77.8646
1995-06-21,77.8561
1995-06-28,78.3899
1995-07-05,78.3807
1995-07-12,78.714
1995-07-19,78.6727
1995-07-26,78.526
1995-08-02,78.6184
1995-08-09,78.8964
1995-08-16,78.9474
1995-08-23,78.9093
1995-08-30,78.7789
1995-09-06,79.0843
1995-09-13,79.2706
1995-09-20,79.3716
1995-09-27,79.355
1995-10-04,79.235
1995-10-11,79.1685
1995-10-18,79.1393
1995-10-25,79.2915
1995-11-01,79.3938
1995-11-08,79.4869
1995-11-15,79.4755
1995-11-22,79.5583
1995-11-29,79.6482
1995-12-06,79.4171
1995-12-13,79.6917
1995-12-20,79.8764
1995-12-27,80.1204
1996-01-03,80.2406
1996-01-10,80.2268
1996-01-17,80.1698
1996-01-24,80.2752
1996-01-31,80.355
1996-02-07,80.3771
1996-02-14,80.4686
1996-02-21,80.5716
1996-02-28,80.92
1996-03-06,80.9333
1996-03-13,80.9672
1996-03-20,81.0452
1996-03-27,81.0184
1996-04-03,80.3878
1996-04-10,80.4497
1996-04-17,81.2065
1996-04-24,81.2138
1996-05-01,81.3046
1996-05-08,80.7972
1996-05-15,80.9498
1996-05-22,80.9195
1996-05-29,80.7622
1996-06-05,80.642
1996-06-12,80.7854
1996-06-19,80.8113
1996-06-26,81.2157
1996-07-03,81.0527
1996-07-10,80.9282
1996-07-17,80.9309
1996-07-24,80.8993
1996-07-31,81.0504
1996-08-07,81.3854
1996-08-14,81.458
1996-08-21,81.7995
1996-08-28,81.8848
1996-09-04,81.8224
1996-09-11,82.0013
1996-09-18,82.1529
1996-09-25,82.5677
1996-10-02,83.0328
1996-10-09,83.2866
1996-10-16,83.2921
1996-10-23,83.4983
1996-10-30,83.6922
1996-11-06,83.8478
1996-11-13,83.9568
1996-11-20,84.4812
1996-11-27,84.838
1996-12-04,85.6104
1996-12-11,85.6461
1996-12-18,85.7495
1996-12-25,85.9452
1997-01-01,86.1798
1997-01-08,86.1931
1997-01-15,86.2706
1997-01-22,86.3764
1997-01-29,86.5284
1997-02-05,86.8302
1997-02-12,86.983
1997-02-19,87.3526
1997-02-26,87.5807
1997-03-05,88.2742
1997-03-12,88.5492
1997-03-19,88.7909
1997-03-26,88.9433
1997-04-02,89.0306
1997-04-09,89.9256
1997-04-16,90.064
1997-04-23,90.2234
1997-04-30,90.5386
1997-05-07,90.745
1997-05-14,91.1193
1997-05-21,91.3577
1997-05-28,92.4129
1997-06-04,92.6875
1997-06-11,92.9856
1997-06-18,92.9858
1997-06-25,93.515
1997-07-02,94.3967
1997-07-09,94.2842
1997-07-16,94.467
1997-07-23,94.5219
1997-07-30,94.7219
1997-08-06,94.8931
1997-08-13,95.1195
1997-08-20,95.4545
1997-08-27,95.5539
1997-09-03,96.2594
1997-09-10,96.4246
1997-09-17,96.6355
1997-09-24,97.2097
1997-10-01,97.0283
1997-10-08,96.9124
1997-10-15,97.0485
1997-10-22,97.508
1997-10-29,97.5796
1997-11-05,97.6703
1997-11-12,97.8323
1997-11-19,98.2058
1997-11-26,98.3301
1997-12-03,98.541
1997-12-10,98.8071
1997-12-17,98.7741
1997-12-24,99.0201
1997-12-31,98.6724
1998-01-07,99.0129
1998-01-14,99.0926
1998-01-21,99.2322
1998-01-28,99.2949
1998-02-04,99.4031
1998-02-11,99.8299
1998-02-18,99.5048
1998-02-25,99.5008
1998-03-04,99.4094
1998-03-11,99.3885
1998-03-18,99.3084
1998-03-25,98.9796
1998-04-01,99.3403
1998-04-08,99.1899
1998-04-15,99.1244
1998-04-22,98.8866
1998-04-29,98.9181
1998-05-06,99.0168
1998-05-13,98.752
1998-05-20,98.4772
1998-05-27,98.5237
1998-06-03,98.8457
1998-06-10,98.5852
1998-06-17,98.471
1998-06-24,98.8425
1998-07-01,99.5092
1998-07-08,99.0203
1998-07-15,98.8596
1998-07-22,98.718
1998-07-29,98.5803
1998-08-05,98.3466
1998-08-12,98.4053
1998-08-19,98.5696
1998-08-26,98.7425
1998-09-02,98.5662
1998-09-09,98.4555
1998-09-16,98.3859
1998-09-23,98.841
1998-09-30,97.6431
1998-10-07,97.4029
1998-10-14,98.0583
1998-10-21,98.1504
1998-10-28,98.2083
1998-11-04,97.9729
1998-11-11,97.9261
1998-11-18,97.4931
1998-11-25,97.3461
1998-12-02,97.4008
1998-12-09,97.5305
1998-12-16,97.3844
1998-12-23,96.7733
1998-12-30,96.9284
1999-01-06,97.1434
1999-01-13,97.0465
1999-01-20,97.2808
1999-01-27,97.1403
1999-02-03,96.9622
1999-02-10,96.8972
1999-02-17,96.9829
1999-02-24,96.9184
1999-03-03,96.8291
1999-03-10,96.8699
1999-03-17,96.877
1999-03-24,97.1308
1999-03-31,97.119
1999-04-07,97.3003
1999-04-14,97.4535
1999-04-21,97.441
1999-04-28,97.6652
1999-05-05,97.7276
1999-05-12,98.2613
1999-05-19,98.5811
1999-05-26,98.851
1999-06-02,98.9229
1999-06-09,98.8713
1999-06-16,99.4302
